start,end,today,,Select region,Select your National Society,Visibility:,__version__,_id,_uuid,_submission_time,_validation_status,_index,INVOLVED IN VACCINATION ACTIVITIES,ISO3,Final involvement,Source
Not,,,,Asia Pacific,Indonesian Red Cross Society,,,,,,,,0,IDN,Yes,SA Tool
Not,,,,Asia Pacific,Japanese Red Cross Society,,,,,,,,0,JPN,Yes,SA Tool
Not,,,,Asia Pacific,Kiribati Red Cross Society,,,,,,,,0,KIR,Yes,SA Tool
Not,,,,Asia Pacific,Lao Red Cross,,,,,,,,0,LAO,Yes,SA Tool
Not,,,,Asia Pacific,Marshall Islands Red Cross Society,,,,,,,,0,MHL,Yes,SA Tool
Not,,,,Asia Pacific,Micronesia Red Cross,,,,,,,,0,FSM,Yes,SA Tool
Not,,,,Asia Pacific,Mongolian Red Cross Society,,,,,,,,0,MNG,Yes,SA Tool
Not,,,,Asia Pacific,Myanmar Red Cross Society,,,,,,,,0,MMR,Yes,SA Tool
Not,,,,Asia Pacific,Nepal Red Cross Society,,,,,,,,0,NPL,Yes,SA Tool
Not,,,,Asia Pacific,Pakistan Red Crescent,,,,,,,,0,PAK,Yes,SA Tool
Not,,,,Asia Pacific,Philippine Red Cross,,,,,,,,0,PHL,Yes,SA Tool
Not,,,,Asia Pacific,The Republic of Korea National Red Cross,,,,,,,,0,KOR,Undecided/Under discussion,SA Tool
Not,,,,Asia Pacific,Timor-Leste Red Cross Society,,,,,,,,0,TLS,Yes,SA Tool
Not,,,,Asia Pacific,Tuvalu Red Cross Society,,,,,,,,0,TUV,Yes,SA Tool
2021-02-18T18:41:45.133+04:30,2021-02-18T19:33:41.468+04:30,2021-02-18,,Europe,Red Crescent Society of Tajikistan,Public,vBBPRRPRGAkK8njaji7pcp,15071,878d093f-e4ae-4b7a-9d82-deaa7d7636e3,2021-02-18T14:35:55,,21,0,TJK,Yes,SA Tool
2021-02-18T16:47:44.464+01:00,2021-02-18T17:35:44.504+01:00,2021-02-18,,Europe,Albanian Red Cross,RCRC Movement,vBBPRRPRGAkK8njaji7pcp,15109,3b9c1f59-45c8-4bf2-ae3f-d99d4181bb58,2021-02-18T16:35:55,,22,0,ALB,No,SA Tool
2021-02-19T09:48:52.554+05:00,2021-02-19T10:52:00.633+05:00,2021-02-19,,Europe,Red Crescent Society of Turkmenistan,IFRC Secretariat,vBBPRRPRGAkK8njaji7pcp,15453,ef7c15f6-6c5d-4975-8b45-64f1a24f4b4b,2021-02-19T05:52:14,,23,0,TKM,Yes,SA Tool
2021-02-19T08:00:23.611+01:00,2021-02-19T08:23:44.543+01:00,2021-02-19,,Europe,Luxembourg Red Cross,Public,vBBPRRPRGAkK8njaji7pcp,15458,f0099842-0a98-4a5f-93d9-826c379c66ce,2021-02-19T07:24:00,,25,0,LUX,Yes,SA Tool
2021-02-19T08:10:51.211+01:00,2021-02-19T08:38:44.788+01:00,2021-02-19,,Europe,Polish Red Cross,IFRC Secretariat,vBBPRRPRGAkK8njaji7pcp,15461,b11cd729-1e4b-464c-994f-5463949c3315,2021-02-19T07:38:56,,27,0,POL,Yes,SA Tool
2021-02-19T09:33:50.642+01:00,2021-02-19T09:40:50.250+01:00,2021-02-19,,Europe,The Red Cross Society of Bosnia and Herzegovina,Public,vBBPRRPRGAkK8njaji7pcp,15468,ee4405ef-e7b4-412a-980a-489a4a9eecc9,2021-02-19T08:41:01,,28,0,BIH,Yes,SA Tool
2021-02-19T11:26:39.425+03:00,2021-02-19T11:46:26.988+03:00,2021-02-19,,Europe,The Russian Red Cross Society,IFRC Secretariat,vBBPRRPRGAkK8njaji7pcp,15470,4e5ed7e4-cdfc-49ea-a0e8-9d5480825292,2021-02-19T08:46:39,,29,0,RUS,Yes,SA Tool
2021-02-16T16:12:17.651+01:00,2021-02-19T10:13:53.125+01:00,2021-02-16,,Europe,Croatian Red Cross,Public,vBBPRRPRGAkK8njaji7pcp,15481,db337f69-aef9-4dcd-b6fc-aadd45841a0d,2021-02-19T09:13:58,,30,0,HRV,Yes,SA Tool
