COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
Bonaire,XAA,AMRO,REPORTING,2022-04-08,33217,17467,158.819,83.514,15750,75.305,,,,,
"Bonaire, Sint Eustatius and Saba",BES,AMRO,REPORTING,2021-04-09,7391,5726,28.441,22.034,2965,11.41,"Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2021-02-22,2,,
Bosnia and Herzegovina,BIH,EURO,REPORTING,2022-01-29,1924950,943394,58.7,28.755,846080,25.789,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty, Sinovac - CoronaVac, Gamaleya - Sputnik V",,4,,
Botswana,BWA,AFRO,REPORTING,2022-03-21,2517260,1454775,107.043,61.862,1292541,54.964,"Bharat - Covaxin,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-03-26,6,243897,10.371
Brazil,BRA,AMRO,REPORTING,2022-04-08,403869527,177892144,190.003,83.691,156799524,73.767,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-01-17,5,73579856,34.616
British Virgin Islands,VGB,AMRO,REPORTING,2022-04-08,40697,19214,134.593,63.545,17757,58.726,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S",2021-02-11,2,3726,12.323
Brunei Darussalam,BRN,WPRO,REPORTING,2022-04-08,1084543,412058,247.907,94.189,405414,92.671,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2021-04-03,5,267071,61.048
Bulgaria,BGR,EURO,REPORTING,2022-04-10,4363076,2084765,62.8,29.99,2054163,29.55,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-30,4,728093,10.474
Burkina Faso,BFA,AFRO,REPORTING,2022-04-08,2440917,2158705,11.677,10.327,1243268,5.948,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",2021-06-02,3,,
Burundi,BDI,AFRO,REPORTING,2022-04-03,11083,11083,0.093,0.093,10522,0.088,Beijing CNBG - BBIBP-CorV,2021-10-18,1,,
Cabo Verde,CPV,AFRO,REPORTING,2022-03-26,728077,354533,130.952,63.766,306782,55.178,"Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-03-18,4,66762,12.008
Cambodia,KHM,WPRO,REPORTING,2022-04-08,37123822,14843499,222.046,88.782,14088239,84.265,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-02-10,7,8037038,48.071
Cameroon,CMR,AFRO,REPORTING,2022-04-04,1820196,1544220,6.857,5.817,1201735,4.527,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-04-12,4,50951,0.192
Canada,CAN,AMRO,REPORTING,2022-04-08,81409801,32462936,215.7,86.012,31046292,82.259,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2020-12-14,5,17900573,47.429
Cayman Islands,CYM,AMRO,REPORTING,2022-04-08,141118,60364,214.726,91.85,58385,88.839,Pfizer BioNTech - Comirnaty,2021-01-15,1,22369,34.037
Central African Republic,CAF,AFRO,REPORTING,2022-04-07,,997991,,20.663,941607,19.496,"Bharat - Covaxin,SII - Covishield",2021-03-19,2,,
Chad,TCD,AFRO,REPORTING,2022-04-09,2291152,2159731,13.948,13.148,2038603,12.411,Beijing CNBG - BBIBP-CorV,2021-06-04,1,,
Chile,CHL,AMRO,REPORTING,2022-04-08,51055342,17886795,267.079,93.569,17407172,91.06,"AstraZeneca - Vaxzevria,CanSino - Convidecia,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2020-12-21,4,13702862,71.682
China,CHN,WPRO,REPORTING,2022-04-08,3293526192,1280585433,223.853,87.038,1245989622,84.687,"Anhui ZL - Zifivax,Beijing CNBG - BBIBP-CorV,CanSino - Convidecia,IMB - Covidful,Pfizer BioNTech - Comirnaty,Shenzhen - LV-SMENP-DC,Sinovac - CoronaVac,Wuhan CNBG - Inactivated",2020-07-22,8,647784737,44.028
Colombia,COL,AMRO,REPORTING,2022-04-08,81433240,42072984,160.041,82.686,35016472,68.818,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-02-17,5,10714600,21.057
Comoros,COM,AFRO,REPORTING,2022-03-21,637961,341102,73.362,39.225,301218,34.639,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,SII - Covishield",2021-04-10,3,,
Congo,COG,AFRO,REPORTING,2022-04-01,,595747,,10.796,671250,12.165,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,SII - Covishield",2021-03-23,4,,
Cook Islands,COK,WPRO,REPORTING,2022-03-29,39686,15094,225.951,85.937,14676,83.557,Pfizer BioNTech - Comirnaty,2021-05-17,1,9916,56.456
Costa Rica,CRI,AMRO,REPORTING,2022-04-08,10313681,4358705,202.463,85.563,4008446,78.688,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-24,3,1946530,38.211
Côte d’Ivoire,CIV,AFRO,REPORTING,2022-04-10,11872480,7927713,45.009,30.054,5394807,20.452,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-03-01,5,47547,0.18
Croatia,HRV,EURO,REPORTING,2022-04-10,5233136,2310447,129,56.967,2235658,55.09,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-23,4,884113,21.786
Cuba,CUB,AMRO,REPORTING,2022-04-08,35484999,10639960,313.289,93.938,9919922,87.581,"CIGB - CIGB-66,Finlay - Soberana Plus,Finlay - Soberana-02",,3,6372247,56.259
Curaçao,CUW,AMRO,REPORTING,2022-04-08,247079,107625,150.573,65.588,98556,60.061,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2021-02-24,3,40898,24.924
Cyprus,CYP,EURO,REPORTING,2022-04-10,1755104,661984,197.6,74.547,658151,74.116,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-23,4,456128,51.365
Czechia,CZE,EURO,REPORTING,2022-04-10,17517542,6948810,163.8,64.979,6857447,64.125,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-23,4,4120910,38.535
Democratic Republic of the Congo,COD,AFRO,REPORTING,2022-04-06,881240,802182,0.984,0.896,515732,0.576,SII - Covishield,2021-04-19,1,,
Denmark,DNK,EURO,REPORTING,2022-04-10,13198259,4836339,226.7,83.059,4787868,82.227,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-16,4,3620927,62.186
